"DisplayName","State","CreatedDateTime","ModifiedDateTime","GrantControls","ClientAppTypes","IncludeUsers","ExcludeUsers"
"CA-Pilot-HR-Require-MFA","enabled","15.4.2026 6:11:20 PM","16.4.2026 6:09:13 PM","mfa","all","",""
"CA-Block-Legacy-Authentication","enabled","15.4.2026 6:39:19 PM","14.6.2026 10:03:33 AM","block","exchangeActiveSync, other","All","REDACTED-BG-ADMIN-01, REDACTED-BG-ADMIN-02"
"CA-Require-MFA-All-Users","enabled","16.4.2026 5:54:25 PM","14.6.2026 10:04:42 AM","mfa","all","All","REDACTED-BG-ADMIN-01, REDACTED-BG-ADMIN-02"
"CA-Risk-SignIn-Require-MFA","enabled","17.4.2026 6:00:57 PM","14.6.2026 10:05:24 AM","mfa","all","All","REDACTED-BG-ADMIN-01, REDACTED-BG-ADMIN-02"
"CA-Risk-User-Force-Password-Change","enabled","17.4.2026 6:05:24 PM","21.6.2026 9:11:39 PM","passwordChange","all","All","REDACTED-BG-ADMIN-01, REDACTED-BG-ADMIN-02"
"CA-Admin-Require-Phishing-Resistant-MFA","enabled","17.4.2026 6:52:20 PM","14.6.2026 10:03:18 AM","mfa","all","","REDACTED-BG-ADMIN-01, REDACTED-BG-ADMIN-02"
"CA-Require-MFA-LAB-App-Registration-Test","enabledForReportingButNotEnforced","27.4.2026 10:23:22 AM",,"mfa","all","REDACTED-USER-ID",""
"CA-Require-Terms-of-Use","enabled","31.5.2026 6:26:33 PM","31.5.2026 6:27:03 PM","","all","","REDACTED-BG-ADMIN-01, REDACTED-BG-ADMIN-02"
"CA-Block-Untrusted-Countries","enabled","1.6.2026 2:53:04 PM","14.6.2026 10:04:20 AM","block","all","All","REDACTED-BG-ADMIN-01, REDACTED-BG-ADMIN-02"
"CA-Require-StepUp-Sensitive-Access","enabledForReportingButNotEnforced","6.6.2026 6:28:44 PM",,"mfa","all","All","REDACTED-BG-ADMIN-01, REDACTED-BG-ADMIN-02, REDACTED-USER-ID"
"CA-Session-Management","enabledForReportingButNotEnforced","6.6.2026 9:44:31 PM",,"","all","All","REDACTED-BG-ADMIN-01, REDACTED-BG-ADMIN-02, REDACTED-USER-ID"
